loan_amnt,funded_amnt,funded_amnt_inv,term,home_ownership,issue_d
8000,8000,8000,36 months,MORTGAGE,Dec-2011
10000,10000,10000,36 months,RENT,Dec-2011
8000,8000,8000,36 months,MORTGAGE,Dec-2011
10000,10000,10000,36 months,RENT,Dec-2011
12000,12000,12000,36 months,MORTGAGE,Dec-2011
10000,10000,10000,36 months,RENT,Dec-2011
12000,12000,12000,36 months,RENT,Dec-2011
25000,25000,23088.161057965841,60 months,MORTGAGE,Dec-2011
19750,19750,19725,36 months,RENT,Dec-2011
10000,10000,10000,36 months,RENT,Dec-2011
13650,13650,13650,36 months,RENT,Dec-2011
28000,11800,11775,60 months,RENT,Dec-2011
18000,18000,18000,36 months,RENT,Dec-2011
2500,2500,2500,36 months,RENT,Dec-2011
21000,21000,20120.806572591906,60 months,RENT,Dec-2011
35000,35000,35000,36 months,MORTGAGE,Dec-2011
10000,10000,10000,36 months,RENT,Dec-2011
7000,7000,7000,36 months,RENT,Dec-2011
24000,24000,24000,36 months,MORTGAGE,Dec-2011
10625,10625,10625,36 months,MORTGAGE,Dec-2011
5000,5000,5000,36 months,RENT,Dec-2011
8850,8850,8850,36 months,RENT,Dec-2011
6375,6375,6375,36 months,RENT,Dec-2011
6000,6000,6000,36 months,RENT,Dec-2011
11100,11100,11100,36 months,RENT,Dec-2011
10000,10000,10000,60 months,MORTGAGE,Dec-2011
6200,6200,6200,36 months,MORTGAGE,Dec-2011
15000,15000,15000,36 months,RENT,Dec-2011
4200,4200,4200,36 months,RENT,Dec-2011
14000,14000,14000,36 months,RENT,Dec-2011
8875,8875,8875,36 months,MORTGAGE,Dec-2011
13500,13500,13500,36 months,RENT,Dec-2011
12000,12000,12000,36 months,RENT,Dec-2011
16000,16000,15975,60 months,RENT,Dec-2011
21600,21600,20498.265781072916,60 months,MORTGAGE,Dec-2011
6000,6000,6000,36 months,MORTGAGE,Dec-2011
8450,8450,8425,60 months,OWN,Dec-2011
20000,20000,18590.337769793743,60 months,RENT,Dec-2011
10000,10000,10000,36 months,RENT,Dec-2011
12000,12000,12000,36 months,MORTGAGE,Dec-2011
13475,13475,13450,60 months,RENT,Dec-2011
7200,7200,7200,36 months,RENT,Dec-2011
5600,5600,5600,36 months,MORTGAGE,Dec-2011
12000,12000,11975,36 months,RENT,Dec-2011
8500,8500,8500,36 months,RENT,Dec-2011
8000,8000,8000,36 months,RENT,Dec-2011
8000,8000,8000,36 months,RENT,Dec-2011
16000,16000,8150,60 months,RENT,Dec-2011
15000,15000,15000,36 months,MORTGAGE,Dec-2011
10000,10000,10000,36 months,OWN,Dec-2011
10000,10000,10000,36 months,MORTGAGE,Dec-2011
8000,8000,8000,36 months,RENT,Dec-2011
22000,22000,22000,36 months,MORTGAGE,Dec-2011
6000,6000,6000,36 months,MORTGAGE,Dec-2011
16000,16000,15975,60 months,OWN,Dec-2011
2500,2500,2500,36 months,OWN,Dec-2011
13500,13500,13500,36 months,MORTGAGE,Dec-2011
25000,25000,25000,36 months,RENT,Dec-2011
10000,10000,10000,36 months,RENT,Dec-2011
2500,2500,2500,36 months,RENT,Dec-2011
7325,7325,7325,36 months,RENT,Dec-2011
4000,4000,4000,36 months,RENT,Dec-2011
10000,10000,10000,36 months,RENT,Dec-2011
7750,7750,7750,36 months,RENT,Dec-2011
20000,20000,20000,60 months,RENT,Dec-2011
9600,9600,9600,36 months,RENT,Dec-2011
21000,21000,21000,60 months,RENT,Dec-2011
14000,14000,14000,36 months,RENT,Dec-2011
13350,13350,13350,36 months,RENT,Dec-2011
15000,15000,15000,36 months,RENT,Dec-2011
15000,15000,15000,36 months,RENT,Dec-2011
11000,11000,10750,60 months,MORTGAGE,Dec-2011
35000,35000,35000,36 months,MORTGAGE,Dec-2011
9000,9000,9000,36 months,MORTGAGE,Dec-2011
22475,22475,22425,60 months,MORTGAGE,Dec-2011
16000,16000,16000,36 months,RENT,Dec-2011
13500,13500,13500,36 months,RENT,Dec-2011
24000,24000,24000,36 months,RENT,Dec-2011
12000,12000,12000,36 months,RENT,Dec-2011
8400,8400,8150,60 months,RENT,Dec-2011
28000,28000,27975,60 months,MORTGAGE,Dec-2011
14000,14000,14000,36 months,RENT,Dec-2011
12000,12000,12000,36 months,MORTGAGE,Dec-2011
25000,25000,25000,36 months,MORTGAGE,Dec-2011
9000,9000,9000,36 months,RENT,Dec-2011
13250,13250,13250,36 months,RENT,Dec-2011
20000,20000,20000,36 months,RENT,Dec-2011
3000,3000,3000,36 months,RENT,Dec-2011
7350,7350,7350,36 months,MORTGAGE,Dec-2011
11500,11500,11500,36 months,RENT,Dec-2011
13650,13650,13650,36 months,MORTGAGE,Dec-2011
10500,10500,10500,36 months,RENT,Dec-2011
12000,12000,11975,36 months,RENT,Dec-2011
6000,6000,6000,36 months,RENT,Dec-2011
11500,11500,11500,36 months,MORTGAGE,Dec-2011
7000,7000,7000,36 months,MORTGAGE,Dec-2011
29500,29500,28513.459250429409,60 months,MORTGAGE,Dec-2011
2000,2000,2000,36 months,RENT,Dec-2011
11625,11625,11625,36 months,MORTGAGE,Dec-2011
15075,15075,15075,36 months,RENT,Dec-2011
5300,5300,5300,36 months,RENT,Dec-2011
8200,8200,8200,36 months,RENT,Dec-2011
12000,12000,12000,36 months,MORTGAGE,Dec-2011
8650,8650,8650,36 months,MORTGAGE,Dec-2011
21000,11800,11500,60 months,MORTGAGE,Dec-2011
16000,16000,16000,60 months,RENT,Dec-2011
12000,12000,11975,36 months,RENT,Dec-2011
9500,9500,9500,36 months,MORTGAGE,Dec-2011
7400,7400,7400,36 months,OWN,Dec-2011
14400,14400,14400,36 months,MORTGAGE,Dec-2011
24250,18100,18075,60 months,MORTGAGE,Dec-2011
7200,7200,7200,36 months,RENT,Dec-2011
26000,26000,25975,60 months,MORTGAGE,Dec-2011
7000,7000,6975,60 months,MORTGAGE,Dec-2011
4000,4000,4000,36 months,RENT,Dec-2011
1500,1500,1500,36 months,MORTGAGE,Dec-2011
19600,19600,19600,36 months,RENT,Dec-2011
2500,2500,2500,36 months,MORTGAGE,Dec-2011
10000,10000,10000,36 months,RENT,Dec-2011
10000,10000,10000,36 months,RENT,Dec-2011
4225,4225,4225,36 months,MORTGAGE,Dec-2011
3500,3500,3500,36 months,MORTGAGE,Dec-2011
12000,12000,12000,36 months,MORTGAGE,Dec-2011
16500,16500,16500,36 months,RENT,Dec-2011
22000,22000,21975,60 months,RENT,Dec-2011
12000,12000,12000,36 months,RENT,Dec-2011
15600,15600,15600,60 months,RENT,Dec-2011
10800,10800,10800,36 months,RENT,Dec-2011
14000,14000,14000,36 months,MORTGAGE,Dec-2011
18825,18825,18800,60 months,MORTGAGE,Dec-2011
6000,6000,6000,36 months,MORTGAGE,Dec-2011
12000,12000,12000,36 months,RENT,Dec-2011
10000,10000,10000,36 months,RENT,Dec-2011
8000,8000,8000,36 months,RENT,Dec-2011
14125,14125,14125,36 months,RENT,Dec-2011
14000,14000,14000,36 months,RENT,Dec-2011
13200,8975,8975,60 months,RENT,Dec-2011
4000,4000,4000,36 months,MORTGAGE,Dec-2011
4000,4000,4000,36 months,RENT,Dec-2011
10500,10500,10500,36 months,MORTGAGE,Dec-2011
5500,5500,5500,36 months,OWN,Dec-2011
7350,7350,7350,36 months,RENT,Dec-2011
10000,10000,10000,36 months,RENT,Dec-2011
12000,12000,12000,36 months,RENT,Dec-2011
5000,5000,5000,60 months,MORTGAGE,Dec-2011
8000,8000,8000,60 months,OWN,Dec-2011
4500,4500,4500,36 months,MORTGAGE,Dec-2011
18000,18000,17975,36 months,OWN,Dec-2011
12300,12300,12300,60 months,MORTGAGE,Dec-2011
12000,12000,12000,36 months,RENT,Dec-2011
10000,10000,10000,36 months,MORTGAGE,Dec-2011
6000,6000,6000,36 months,MORTGAGE,Dec-2011
12000,12000,12000,36 months,RENT,Dec-2011
12000,12000,12000,36 months,RENT,Dec-2011
7000,7000,7000,36 months,RENT,Dec-2011
35000,26825,26800,60 months,MORTGAGE,Dec-2011
1400,1400,1400,36 months,RENT,Dec-2011
16000,16000,16000,60 months,RENT,Dec-2011
3200,3200,3200,36 months,RENT,Dec-2011
8000,8000,8000,36 months,RENT,Dec-2011
11875,11875,11875,60 months,RENT,Dec-2011
5000,5000,5000,36 months,MORTGAGE,Dec-2011
1800,1800,1800,36 months,RENT,Dec-2011
35000,35000,35000,36 months,RENT,Dec-2011
18000,18000,17950,36 months,RENT,Dec-2011
14000,14000,14000,36 months,OWN,Dec-2011
5000,5000,5000,36 months,RENT,Dec-2011
8000,8000,8000,36 months,RENT,Dec-2011
10000,10000,10000,36 months,MORTGAGE,Dec-2011
10000,10000,9975,36 months,RENT,Dec-2011
12000,12000,12000,36 months,MORTGAGE,Dec-2011
23200,23200,23175,36 months,MORTGAGE,Dec-2011
18000,18000,17975,60 months,MORTGAGE,Dec-2011
4800,4800,4800,36 months,MORTGAGE,Dec-2011
7300,7300,7300,36 months,RENT,Dec-2011
10400,10400,10400,36 months,RENT,Dec-2011
6600,6600,6600,36 months,MORTGAGE,Dec-2011
12000,12000,12000,36 months,OWN,Dec-2011
13250,13250,13250,36 months,RENT,Dec-2011
12000,12000,12000,36 months,RENT,Dec-2011
25000,25000,25000,36 months,RENT,Dec-2011
6000,6000,6000,36 months,RENT,Dec-2011
12000,12000,12000,36 months,MORTGAGE,Dec-2011
14400,14400,14400,36 months,RENT,Dec-2011
10000,10000,10000,36 months,RENT,Dec-2011
8000,8000,8000,36 months,RENT,Dec-2011
8000,8000,8000,36 months,RENT,Dec-2011
30000,30000,28673.796519506715,60 months,RENT,Dec-2011
18000,18000,18000,60 months,OWN,Dec-2011
13250,13250,13250,36 months,OWN,Dec-2011
14000,14000,14000,36 months,RENT,Dec-2011
20000,20000,19975,60 months,OWN,Dec-2011
10000,10000,10000,36 months,RENT,Dec-2011
35000,23250,23200,60 months,RENT,Dec-2011
4000,4000,4000,36 months,RENT,Dec-2011
13000,13000,13000,36 months,RENT,Dec-2011
28000,28000,28000,36 months,RENT,Dec-2011
10000,10000,10000,36 months,RENT,Dec-2011
20000,20000,20000,36 months,RENT,Dec-2011
18000,18000,17950,36 months,RENT,Dec-2011
9000,9000,9000,60 months,RENT,Dec-2011
25000,25000,24975,60 months,RENT,Dec-2011
10000,10000,10000,36 months,RENT,Dec-2011
4200,4200,4200,36 months,RENT,Dec-2011
20000,20000,19975,60 months,OWN,Dec-2011
18000,18000,17975,60 months,MORTGAGE,Dec-2011
24000,24000,24000,36 months,RENT,Dec-2011
4475,4475,4475,36 months,RENT,Dec-2011
20000,20000,19950,60 months,MORTGAGE,Dec-2011
12000,12000,12000,36 months,RENT,Dec-2011
18000,18000,18000,60 months,MORTGAGE,Dec-2011
5000,5000,5000,36 months,RENT,Dec-2011
3000,3000,3000,36 months,RENT,Dec-2011
25000,25000,24975,60 months,RENT,Dec-2011
18000,18000,18000,60 months,RENT,Dec-2011
12000,12000,12000,36 months,RENT,Dec-2011
20000,20000,20000,36 months,MORTGAGE,Dec-2011
10000,10000,10000,36 months,RENT,Dec-2011
15000,15000,15000,36 months,OWN,Dec-2011
12000,12000,12000,36 months,MORTGAGE,Dec-2011
20000,13475,13041.47043815888,60 months,MORTGAGE,Dec-2011
6300,6300,6300,36 months,RENT,Dec-2011
20000,20000,18626.34674351825,60 months,RENT,Dec-2011
35000,23150,21739.74812901927,60 months,MORTGAGE,Dec-2011
8250,8250,8086.748003727332,60 months,MORTGAGE,Dec-2011
20000,20000,18847.373056722821,60 months,OWN,Dec-2011
10000,10000,10000,36 months,RENT,Dec-2011
24000,24000,24000,36 months,MORTGAGE,Dec-2011
14400,14400,14400,36 months,MORTGAGE,Dec-2011
6000,6000,6000,36 months,RENT,Dec-2011
22000,22000,21975,36 months,MORTGAGE,Dec-2011
12000,12000,12000,36 months,RENT,Dec-2011
16000,16000,16000,36 months,MORTGAGE,Dec-2011
10000,10000,10000,36 months,MORTGAGE,Dec-2011
16000,11625,11368.734456100632,60 months,MORTGAGE,Dec-2011
10000,10000,10000,36 months,RENT,Dec-2011
3500,3500,3500,36 months,RENT,Dec-2011
9600,9600,9600,36 months,RENT,Dec-2011
9875,9875,9875,36 months,MORTGAGE,Dec-2011
21500,16975,15953.426394426239,60 months,OWN,Dec-2011
4800,4800,4800,36 months,RENT,Dec-2011
7800,7800,7800,36 months,OWN,Dec-2011
20000,20000,20000,36 months,MORTGAGE,Dec-2011
9750,9750,9750,36 months,RENT,Dec-2011
18000,15050,14773.457513501524,60 months,MORTGAGE,Dec-2011
5000,5000,5000,36 months,MORTGAGE,Dec-2011
9000,9000,9000,36 months,RENT,Dec-2011
7200,7200,7175,36 months,RENT,Dec-2011
3000,3000,3000,60 months,RENT,Dec-2011
25000,25000,23505.293842057228,60 months,RENT,Dec-2011
25000,25000,25000,36 months,OWN,Dec-2011
10000,10000,10000,36 months,RENT,Dec-2011
8875,8875,8875,36 months,MORTGAGE,Dec-2011
15550,15550,15525,36 months,RENT,Dec-2011
17000,17000,16060.110691076134,60 months,RENT,Dec-2011
7500,7500,7475,36 months,RENT,Dec-2011
8875,8875,8875,36 months,OWN,Dec-2011
4500,4500,4500,36 months,RENT,Dec-2011
5800,5800,5800,36 months,RENT,Dec-2011
10000,10000,10000,36 months,RENT,Dec-2011
10000,10000,10000,36 months,RENT,Dec-2011
14000,14000,14000,36 months,RENT,Dec-2011
25000,25000,23176.933614036439,60 months,MORTGAGE,Dec-2011
12000,12000,12000,36 months,RENT,Dec-2011
24000,24000,23975,36 months,OWN,Dec-2011
14000,14000,14000,36 months,RENT,Dec-2011
12000,12000,11975,36 months,MORTGAGE,Dec-2011
15000,15000,14224.107739944069,60 months,OWN,Dec-2011
8050,8050,8050,36 months,RENT,Dec-2011
5600,5600,5600,36 months,RENT,Dec-2011
7500,7500,7500,36 months,RENT,Dec-2011
7000,7000,7000,36 months,RENT,Dec-2011
5400,5400,5400,36 months,RENT,Dec-2011
16000,16000,16000,36 months,RENT,Dec-2011
35000,27575,26043.43249257181,60 months,MORTGAGE,Dec-2011
6000,6000,6000,60 months,RENT,Dec-2011
4125,4125,4125,60 months,MORTGAGE,Dec-2011
9800,9800,9800,36 months,RENT,Dec-2011
15700,15700,14931.309703480402,60 months,MORTGAGE,Dec-2011
5000,5000,5000,36 months,RENT,Dec-2011
9900,9900,9900,36 months,RENT,Dec-2011
4000,4000,4000,36 months,RENT,Dec-2011
15000,15000,15000,36 months,MORTGAGE,Dec-2011
6250,6250,6250,36 months,RENT,Dec-2011
6400,6400,6400,36 months,RENT,Dec-2011
8850,8850,8850,60 months,MORTGAGE,Dec-2011
12000,12000,12000,36 months,MORTGAGE,Dec-2011
15000,15000,14975,36 months,MORTGAGE,Dec-2011
6500,6500,6500,36 months,MORTGAGE,Dec-2011
8000,8000,8000,36 months,RENT,Dec-2011
30000,19825,18614.465574570217,60 months,MORTGAGE,Dec-2011
15000,15000,15000,36 months,MORTGAGE,Dec-2011
10200,10200,10200,36 months,RENT,Dec-2011
9000,9000,9000,36 months,MORTGAGE,Dec-2011
6500,6500,6500,36 months,MORTGAGE,Dec-2011
23000,23000,23000,60 months,MORTGAGE,Dec-2011
2000,2000,2000,36 months,RENT,Dec-2011
8000,8000,8000,36 months,OWN,Dec-2011
8875,8875,8875,36 months,RENT,Dec-2011
1500,1500,1500,36 months,RENT,Dec-2011
8000,8000,8000,36 months,RENT,Dec-2011
20000,16925,11925,60 months,RENT,Dec-2011
6500,6500,6500,36 months,RENT,Dec-2011
9600,9600,9600,36 months,MORTGAGE,Dec-2011
25975,16475,15252.506785018972,60 months,MORTGAGE,Dec-2011
10000,10000,10000,36 months,MORTGAGE,Dec-2011
15000,15000,15000,36 months,MORTGAGE,Dec-2011
9000,9000,9000,36 months,MORTGAGE,Dec-2011
10000,10000,10000,36 months,RENT,Dec-2011
1000,1000,1000,36 months,RENT,Dec-2011
14000,14000,14000,36 months,RENT,Dec-2011
8500,8500,8500,36 months,RENT,Dec-2011
15000,15000,14248.306819772812,60 months,RENT,Dec-2011
4500,4500,4500,36 months,MORTGAGE,Dec-2011
3000,3000,3000,36 months,MORTGAGE,Dec-2011
10000,10000,10000,36 months,MORTGAGE,Dec-2011
21250,21250,21225,60 months,MORTGAGE,Dec-2011
33425,20675,19010.82121846725,60 months,MORTGAGE,Dec-2011
35000,35000,32763.055199608949,60 months,RENT,Dec-2011
7200,7200,7200,36 months,RENT,Dec-2011
18000,18000,17836.580601021858,60 months,RENT,Dec-2011
23000,23000,23000,36 months,MORTGAGE,Dec-2011
20000,20000,19523.207736448999,60 months,RENT,Dec-2011
6000,6000,6000,60 months,RENT,Dec-2011
7000,7000,7000,36 months,RENT,Dec-2011
21000,21000,20975,36 months,MORTGAGE,Dec-2011
8250,8250,8250,36 months,MORTGAGE,Dec-2011
13000,13000,13000,36 months,RENT,Dec-2011
18000,18000,18000,36 months,MORTGAGE,Dec-2011
7200,7200,7175,36 months,MORTGAGE,Dec-2011
16500,16500,16500,36 months,RENT,Dec-2011
8125,8125,8125,36 months,RENT,Dec-2011
18800,18800,18750,36 months,MORTGAGE,Dec-2011
26800,26800,26800,36 months,MORTGAGE,Dec-2011
19200,19200,19200,36 months,MORTGAGE,Dec-2011
12875,8475,8184.320179930575,60 months,RENT,Dec-2011
4000,4000,4000,36 months,MORTGAGE,Dec-2011
4000,4000,4000,36 months,RENT,Dec-2011
12000,12000,12000,36 months,OWN,Dec-2011
2625,2625,2625,36 months,MORTGAGE,Dec-2011
18000,18000,17387.679744579747,60 months,MORTGAGE,Dec-2011
7000,7000,7000,36 months,RENT,Dec-2011
11300,11300,11300,36 months,MORTGAGE,Dec-2011
4000,4000,4000,36 months,MORTGAGE,Dec-2011
8000,8000,8000,36 months,MORTGAGE,Dec-2011
14400,14400,14400,36 months,RENT,Dec-2011
4375,4375,4375,36 months,OWN,Dec-2011
4100,4100,4100,36 months,MORTGAGE,Dec-2011
6000,6000,6000,36 months,RENT,Dec-2011
4200,4200,4200,60 months,RENT,Dec-2011
4000,4000,4000,36 months,MORTGAGE,Dec-2011
3000,3000,3000,36 months,MORTGAGE,Dec-2011
5400,5400,5400,36 months,MORTGAGE,Dec-2011
15000,15000,15000,36 months,RENT,Dec-2011
20000,20000,19523.421916715784,60 months,MORTGAGE,Dec-2011
10400,10400,10400,36 months,RENT,Dec-2011
4500,4500,4500,60 months,MORTGAGE,Dec-2011
11500,11500,11500,36 months,RENT,Dec-2011
10000,10000,9975,36 months,RENT,Dec-2011
18225,13450,13425,60 months,MORTGAGE,Dec-2011
3600,3600,3600,36 months,RENT,Dec-2011
18500,13250,13250,60 months,RENT,Dec-2011
16800,16800,16775,60 months,MORTGAGE,Dec-2011
10000,10000,10000,36 months,RENT,Dec-2011
15000,15000,15000,36 months,MORTGAGE,Dec-2011
8000,8000,8000,36 months,RENT,Dec-2011
25000,17950,17925,60 months,RENT,Dec-2011
16000,16000,16000,36 months,RENT,Dec-2011
8000,8000,8000,36 months,RENT,Dec-2011
7200,7200,7200,36 months,MORTGAGE,Dec-2011
12000,12000,12000,36 months,RENT,Dec-2011
2200,2200,2200,36 months,OWN,Dec-2011
20000,20000,19975,60 months,RENT,Dec-2011
28000,28000,28000,60 months,MORTGAGE,Dec-2011
6000,6000,6000,36 months,MORTGAGE,Dec-2011
25000,25000,24975,60 months,RENT,Dec-2011
8000,8000,8000,60 months,RENT,Dec-2011
14400,14400,14400,36 months,RENT,Dec-2011
20000,13700,13675,60 months,RENT,Dec-2011
25000,19950,19925,60 months,MORTGAGE,Dec-2011
14050,14050,14050,36 months,MORTGAGE,Dec-2011
6000,6000,6000,36 months,OWN,Dec-2011
16100,16100,16075,60 months,MORTGAGE,Dec-2011
35000,23250,23225,60 months,OWN,Dec-2011
10525,10525,10525,36 months,RENT,Dec-2011
7200,7200,7200,36 months,RENT,Dec-2011
18500,15775,15775,60 months,OWN,Dec-2011
12000,12000,12000,36 months,MORTGAGE,Dec-2011
12000,12000,12000,36 months,MORTGAGE,Dec-2011
3000,3000,3000,36 months,RENT,Dec-2011
9500,9500,9500,36 months,RENT,Dec-2011
19775,19775,19775,36 months,RENT,Dec-2011
12000,12000,11975,60 months,RENT,Dec-2011
28000,28000,26968.313459215125,60 months,MORTGAGE,Dec-2011
30000,30000,30000,36 months,RENT,Dec-2011
16000,16000,16000,36 months,MORTGAGE,Dec-2011
14500,14500,14500,36 months,RENT,Dec-2011
11700,11700,11675,60 months,RENT,Dec-2011
4150,4150,4150,36 months,RENT,Dec-2011
15000,15000,14975,60 months,MORTGAGE,Dec-2011
24000,24000,24000,36 months,RENT,Dec-2011
21250,21250,21250,36 months,RENT,Dec-2011
10000,10000,10000,36 months,OWN,Dec-2011
25000,25000,24975,60 months,MORTGAGE,Dec-2011
4000,4000,4000,36 months,RENT,Dec-2011
15000,15000,15000,36 months,RENT,Dec-2011
20000,20000,19975,60 months,RENT,Dec-2011
15000,15000,14975,60 months,MORTGAGE,Dec-2011
3600,3600,3600,36 months,RENT,Dec-2011
6000,6000,6000,60 months,OWN,Dec-2011
15000,15000,15000,36 months,RENT,Dec-2011
12000,12000,11975,60 months,RENT,Dec-2011
12375,12375,12375,36 months,RENT,Dec-2011
4000,4000,4000,36 months,RENT,Dec-2011
13000,13000,13000,36 months,MORTGAGE,Dec-2011
5000,5000,5000,36 months,MORTGAGE,Dec-2011
5000,5000,5000,36 months,OWN,Dec-2011
26000,26000,25975,36 months,RENT,Dec-2011
15000,15000,15000,60 months,MORTGAGE,Dec-2011
4000,4000,4000,60 months,RENT,Dec-2011
8000,8000,8000,36 months,RENT,Dec-2011
1700,1700,1700,36 months,MORTGAGE,Dec-2011
16000,16000,16000,36 months,RENT,Dec-2011
20000,20000,20000,60 months,MORTGAGE,Dec-2011
12000,12000,12000,36 months,RENT,Dec-2011
7000,7000,7000,36 months,MORTGAGE,Dec-2011
8000,8000,8000,60 months,RENT,Dec-2011
13000,13000,13000,60 months,RENT,Dec-2011
13000,13000,13000,36 months,RENT,Dec-2011
20000,20000,19975,60 months,OWN,Dec-2011
